#{"t_start": 1767372548.5907218, "env_id": "CartPole-v1"}
r,l,t
28.973482,29,1.213977
9.989495,10,1.215035
10.988413,11,1.21616
35.974941,36,1.219954
12.988181,13,1.222821
15.984231,16,1.224565
16.983629,17,1.226149
18.9839,19,1.227899
36.971356,37,1.232521
26.979923,27,1.234874
14.988372,15,1.236215
12.989874,13,1.237377
22.98371,23,1.243054
9.989736,10,1.24398
28.984997,29,1.246562
17.985143,18,1.248384
10.989384,11,1.250768
10.988405,11,1.251807
45.975979,46,1.256002
10.987348,11,1.257039
31.985394,32,1.261156
46.96465,47,1.265378
15.984363,16,1.266843
25.974313,26,1.269135
33.965556,34,1.273861
15.978612,16,1.27534
18.982052,19,1.27703
21.984264,22,1.279015
23.982986,24,1.282699
14.986612,15,1.284084
10.991009,11,1.285584
16.984129,17,1.287485
12.990399,13,1.29004
29.981649,30,1.292679
15.987966,16,1.294109
65.950162,66,1.299876
30.976572,31,1.304269
17.985564,18,1.308012
24.983089,25,1.310567
18.985818,19,1.312294
9.990454,10,1.315174
26.977141,27,1.317564
11.988828,12,1.318979
11.986704,12,1.320121
13.985315,14,1.322791
16.983384,17,1.324332
13.987968,14,1.333894
14.981698,15,1.345598
26.977611,27,1.365047
14.987878,15,1.37507
25.985763,26,1.389837
10.990007,11,1.397146
10.988681,11,1.406386
14.991359,15,1.423148
19.977589,20,1.44271
18.981108,19,1.458704
14.988308,15,1.476817
15.988552,16,1.487369
11.988235,12,1.495201
66.955855,67,1.553224
28.96493,29,1.587897
13.991502,14,1.605184
19.985631,20,1.627261
35.958736,36,1.670777
19.984175,20,1.696736
19.982313,20,1.718536
17.977522,18,1.735731
59.947206,60,1.807432
13.988965,14,1.827082
30.978984,31,1.863123
28.977524,29,1.899815
32.988138,33,1.935425
30.982734,31,1.980188
26.96872,27,2.007301
11.985384,12,2.020984
24.986756,25,2.050429
14.98841,15,2.0679
14.985114,15,2.088548
19.985543,20,2.10941
15.985947,16,2.126971
20.984873,21,2.150619
15.989782,16,2.166631
10.988614,11,2.183981
9.989442,10,2.197851
29.982207,30,2.234808
50.974589,51,2.297167
16.984955,17,2.315934
9.989961,10,2.328665
15.98687,16,2.347706
11.989151,12,2.361393
13.987864,14,2.374527
48.961534,49,2.427392
25.98458,26,2.461478
12.989298,13,2.473563
20.972126,21,2.496864
26.985037,27,2.532472
39.978306,40,2.579154
27.973079,28,2.609991
26.983836,27,2.648904
12.98728,13,2.663381
14.987287,15,2.684271
11.988707,12,2.69655
13.985381,14,2.709872
8.989341,9,2.72298
21.98143,22,2.752409
14.985326,15,2.770408
17.975739,18,2.78907
15.988103,16,2.806176
12.988397,13,2.826612
23.984843,24,2.859654
12.985682,13,2.872264
15.990981,16,2.891468
32.978909,33,2.930848
39.983542,40,2.978358
10.988396,11,2.991988
23.985232,24,3.019523
21.985582,22,3.043295
14.989007,15,3.065368
43.970575,44,3.110041
11.99137,12,3.119479
20.983914,21,3.143717
17.984963,18,3.169327
12.990564,13,3.18268
34.968321,35,3.223325
19.980769,20,3.248703
14.98858,15,3.26648
22.977555,23,3.295348
14.989489,15,3.314636
16.985631,17,3.335155
18.987203,19,3.358533
9.992582,10,3.371866
11.988817,12,3.391478
25.983101,26,3.423772
21.987577,22,3.451777
24.980336,25,3.473071
13.988454,14,3.482933
20.980722,21,3.515625
21.978033,22,3.542903
15.990696,16,3.561769
13.987894,14,3.576791
32.97848,33,3.620392
33.964452,34,3.658334
14.984972,15,3.677011
18.986046,19,3.701163
41.969466,42,3.757593
40.96242,41,3.800748
9.989468,10,3.80694
19.981748,20,3.829579
27.977943,28,3.864786
18.985173,19,3.879594
29.968181,30,3.902165
19.984222,20,3.917183
14.985249,15,3.941348
11.987525,12,3.956633
13.985201,14,3.974552
14.988601,15,3.987625
19.985852,20,4.008087
45.973563,46,4.053278
23.979222,24,4.076216
38.965706,39,4.117036
31.980649,32,4.16195
55.939617,56,4.2269
17.979341,18,4.246502
43.972507,44,4.301245
11.98847,12,4.318362
41.967692,42,4.374066
13.986666,14,4.389416
28.977442,29,4.422516
30.980595,31,4.46321
35.971791,36,4.511093
17.986951,18,4.531884
37.980705,38,4.576462
12.986273,13,4.598385
28.977537,29,4.634209
24.978295,25,4.662618
11.990318,12,4.676111
25.979882,26,4.705004
32.981815,33,4.746812
19.981374,20,4.76656
32.956693,33,4.792152
17.985208,18,4.821222
18.987782,19,4.844453
26.977429,27,4.876416
16.982812,17,4.896671
16.987199,17,4.925843
17.985827,18,4.950124
8.990061,9,4.95997
11.98762,12,4.974265
40.958083,41,5.018085
8.990284,9,5.034781
19.976473,20,5.051952
19.982622,20,5.076136
20.982661,21,5.102964
21.985359,22,5.127346
30.983856,31,5.169308
14.983472,15,5.188025
29.978087,30,5.227476
18.984176,19,5.255575
50.951175,51,5.317922
10.985966,11,5.33051
9.989922,10,5.344718
7.99113,8,5.357454
40.971851,41,5.407083
12.988949,13,5.421083
35.962895,36,5.452711
21.979907,22,5.479594
17.985374,18,5.50267
13.985572,14,5.517548
15.985386,16,5.537862
57.961366,58,5.60384
12.987705,13,5.618088
14.986509,15,5.635408
19.98026,20,5.661349
48.975378,49,5.71883
30.979316,31,5.754777
10.99034,11,5.761894
31.974612,32,5.793744
26.981331,27,5.827787
12.987967,13,5.83901
33.97552,34,5.875225
15.986443,16,5.901625
25.968968,26,5.933211
10.987104,11,5.947744
12.98929,13,5.963858
13.989535,14,5.981855
23.979136,24,6.000434
63.945008,64,6.079879
18.987109,19,6.098034
23.979058,24,6.136881
14.9853,15,6.15323
61.936172,62,6.218415
33.971457,34,6.261461
28.981072,29,6.304429
16.979902,17,6.324583
21.981699,22,6.355892
16.986998,17,6.374954
18.985479,19,6.395545
38.973908,39,6.448291
15.986735,16,6.468462
34.958855,35,6.511886
25.978633,26,6.539177
13.98835,14,6.563345
13.982911,14,6.579304
10.990027,11,6.592775
14.986133,15,6.607954
13.987008,14,6.618902
11.988864,12,6.630922
28.9645,29,6.672039
24.983201,25,6.699461
30.97848,31,6.735332
65.952253,66,6.806129
21.986527,22,6.834748
41.985987,42,6.875094
18.985831,19,6.899115
15.979667,16,6.912517
19.97034,20,6.929462
99.951276,100,7.057691
11.98646,12,7.072099
27.979086,28,7.105046
12.987454,13,7.121314
34.950536,35,7.169005
96.926387,97,7.267238
32.965344,33,7.307229
22.9884,23,7.339131
14.990605,15,7.35556
19.988377,20,7.371623
22.98198,23,7.390091
12.988319,13,7.399964
28.981453,29,7.440339
35.977639,36,7.483722
25.982618,26,7.518704
22.979418,23,7.547462
36.980623,37,7.600621
25.980415,26,7.628294
8.989119,9,7.639164
34.979918,35,7.684322
38.95026,39,7.736548
136.908287,137,7.913219
9.990847,10,7.92773
39.97552,40,7.97086
24.983608,25,7.998343
12.985147,13,8.008446
115.898571,116,8.151731
13.985431,14,8.170909
17.981433,18,8.198025
14.983912,15,8.218681
44.975214,45,8.263914
15.986249,16,8.280006
21.98279,22,8.301704
36.961642,37,8.353803
17.983903,18,8.374435
11.98562,12,8.390532
15.983066,16,8.419157
11.987896,12,8.433016
11.98597,12,8.447586
70.961194,71,8.51948
19.984152,20,8.549106
34.984141,35,8.587237
35.971119,36,8.616573
18.978018,19,8.63762
33.977815,34,8.682424
72.966217,73,8.766043
12.986956,13,8.785985
19.984846,20,8.810602
12.9894,13,8.829883
21.985546,22,8.847669
15.984543,16,8.870949
25.982109,26,8.905712
14.987869,15,8.926732
17.986955,18,8.943887
31.982357,32,8.986986
29.98092,30,9.023982
12.983942,13,9.041525
19.985874,20,9.064215
16.986076,17,9.084878
21.981226,22,9.11163
24.970972,25,9.143638
84.93764,85,9.243225
16.98812,17,9.260428
53.959268,54,9.320195
16.988833,17,9.344329
24.980158,25,9.374079
14.989172,15,9.393194
21.984735,22,9.427575
23.98233,24,9.457796
29.978329,30,9.492327
26.982671,27,9.531553
16.984825,17,9.551472
83.918434,84,9.654985
38.965846,39,9.700232
19.98656,20,9.715929
38.970949,39,9.766196
46.956739,47,9.809911
9.990516,10,9.82287
178.852137,179,10.03817
35.97631,36,10.0862
83.958198,84,10.194852
15.989282,16,10.207774
35.983349,36,10.251333
43.978244,44,10.310028
16.980176,17,10.333338
22.980173,23,10.362448
12.988603,13,10.377939
18.978475,19,10.406906
48.966072,49,10.4492
21.977738,22,10.469739
23.986028,24,10.502075
20.985511,21,10.52977
17.986597,18,10.546958
16.989218,17,10.563933
28.983021,29,10.596504
23.980043,24,10.625047
19.987174,20,10.653589
16.986239,17,10.668834
52.970007,53,10.719879
22.984256,23,10.747566
38.972201,39,10.797592
40.962697,41,10.852055
13.982475,14,10.868104
24.975166,25,10.901006
9.990397,10,10.913124
14.985085,15,10.931255
30.983717,31,10.956996
33.959278,34,10.982491
35.959377,36,11.014974
38.981823,39,11.061379
10.989786,11,11.076288
15.982231,16,11.096182
13.98854,14,11.110969
51.958071,52,11.181495
25.978828,26,11.212673
30.961076,31,11.252912
12.988909,13,11.273841
111.961765,112,11.411929
21.985823,22,11.437058
18.9886,19,11.464743
14.987571,15,11.488132
9.988748,10,11.498871
31.972612,32,11.536014
29.972504,30,11.568597
35.944662,36,11.619876
16.985672,17,11.638248
107.960557,108,11.778706
33.972063,34,11.81089
12.985747,13,11.833695
43.963308,44,11.885669
30.976717,31,11.908535
57.922604,58,14.242854
11.98908,12,14.267204
53.976199,54,14.339796
13.987972,14,14.359639
13.983754,14,14.373066
11.989866,12,14.390473
41.971524,42,14.4506
27.983718,28,14.479856
44.974331,45,14.539312
15.987687,16,14.560043
24.97604,25,14.587895
12.989802,13,14.605802
28.976087,29,14.644362
25.987406,26,14.680856
36.969899,37,14.733209
13.989363,14,14.750049
13.988538,14,14.773286
17.985877,18,14.799276
32.974171,33,14.840864
16.984347,17,14.866326
9.990055,10,14.883421
36.969207,37,14.938986
26.986814,27,14.991505
29.976965,30,15.03939
12.987844,13,15.056535
13.986389,14,15.073477
41.963293,42,15.132264
54.965278,55,15.208747
