#{"t_start": 1767376906.422729, "env_id": "CartPole-v1"}
r,l,t
17.981374,18,1.589949
16.987052,17,1.612834
19.983576,20,1.641202
11.986129,12,1.663948
9.986269,10,1.679786
10.987769,11,1.696626
21.979231,22,1.731624
25.977229,26,1.776496
13.9839,14,1.794965
51.939257,52,1.881793
29.973266,30,1.932294
11.984136,12,1.952522
11.986069,12,1.971208
11.982182,12,1.99428
9.986809,10,2.011208
46.951885,47,2.088183
8.988576,9,2.105912
15.982833,16,2.131512
11.984266,12,2.15205
23.971638,24,2.189244
13.985449,14,2.222167
28.977196,29,2.268139
18.984566,19,2.300493
19.982551,20,2.33602
27.96921,28,2.384806
66.92454,67,4.219081
39.968029,40,4.286252
24.96235,25,4.333802
24.972104,25,4.380677
26.972935,27,4.427455
36.93968,37,4.487905
17.972374,18,4.522048
36.976898,37,4.589133
14.978025,15,4.616605
60.909574,61,4.723968
14.977631,15,4.754438
14.978921,15,4.78164
10.985739,11,4.801254
11.986883,12,4.821669
29.951089,30,4.880198
12.984302,13,4.902849
19.969263,20,4.935913
31.970376,32,4.991997
10.982768,11,5.012457
31.947362,32,6.750028
30.964644,31,6.805482
24.961787,25,6.853525
46.956348,47,6.930474
13.986565,14,6.957641
10.98132,11,6.97762
16.983195,17,7.008329
27.963353,28,7.058373
18.975625,19,7.094487
41.957328,42,7.169109
48.931882,49,7.259141
13.976526,14,7.284107
59.928685,60,7.392387
25.963889,26,7.445132
14.97769,15,7.471992
66.952272,67,7.606679
28.965429,29,7.664575
51.908331,52,9.437807
23.968788,24,9.478162
59.93212,60,9.581316
62.928118,63,9.689345
187.530426,188,10.041014
74.900315,75,10.183235
94.743211,95,12.024123
163.548714,164,12.305569
63.907242,64,12.423704
176.433462,177,12.73624
210.505842,211,14.859623
122.706819,123,15.077435
132.596652,133,15.313256
64.933899,65,15.43172
212.623476,213,17.52086
195.149719,196,17.898519
222.951613,224,20.02703
474.470792,476,22.615372
156.85365,157,22.894873
397.618708,399,25.339319
499.336415,500,28.044027
499.082019,500,30.643944
499.361241,500,33.131015
499.217907,500,35.581637
499.277145,500,38.209041
499.706114,500,40.857854
499.517298,500,41.708862
291.655186,292,43.865459
499.623376,500,46.396796
499.626926,500,49.181734
499.597279,500,51.973944
499.673686,500,59.071791
499.508828,500,61.707306
499.515096,500,64.234123
499.48735,500,66.792093
499.6932,500,69.326114
499.694633,500,71.867567
499.599009,500,74.51927
499.596206,500,77.131139
499.597382,500,79.738804
499.575537,500,82.370913
499.745784,500,84.971192
499.657068,500,87.60152
499.764367,500,90.235006
499.615412,500,92.890094
499.690055,500,95.428866
499.667394,500,98.069655
499.73326,500,100.72594
499.580984,500,103.314772
499.874481,500,105.856308
499.759315,500,108.496049
499.803359,500,115.480129
499.857487,500,116.364228
499.8511,500,118.908902
499.839949,500,121.483469
499.823836,500,124.097501
499.762099,500,126.655057
499.83988,500,129.249691
499.896998,500,131.939458
499.900026,500,134.573906
499.898907,500,137.197652
499.929584,500,139.910546
499.919998,500,142.467149
499.876975,500,144.988767
499.925313,500,147.598034
499.907145,500,150.318709
499.923491,500,152.830154
499.910326,500,155.419881
499.923396,500,158.074329
499.887657,500,160.610418
499.824425,500,163.180578
499.763964,500,170.485014
499.886059,500,173.030415
499.900754,500,175.589316
499.924211,500,178.141237
499.892027,500,180.789494
499.879061,500,183.399479
499.928794,500,186.029822
499.924574,500,188.564384
499.886957,500,191.238592
499.905448,500,193.785005
499.904965,500,196.384581
499.904006,500,199.04928
499.890185,500,201.621335
499.945774,500,204.311208
499.943157,500,206.874417
