#{"t_start": 1767398581.719917, "env_id": "LunarLander-v3"}
r,l,t
-196.574561,114,1.232815
-104.540948,100,1.247857
-34.993104,74,1.2617
-84.414641,60,1.270501
-182.231993,70,1.282158
-93.467265,111,1.297058
-362.138783,82,1.307935
-105.25262,105,1.321735
-199.994073,131,1.342346
-111.615727,72,1.352116
-95.337533,62,1.360762
-104.880727,67,1.369465
-129.673632,99,1.386886
-205.611093,96,1.399826
-383.698063,102,1.413765
-389.439294,75,1.423973
-234.155036,97,1.440696
-110.050563,83,1.451609
-146.095481,87,1.463661
-98.977114,76,1.473876
-76.650143,109,1.489423
-106.768483,83,1.500368
-178.04701,118,1.518188
-358.962546,132,1.536315
-255.850645,119,1.556255
-104.483137,145,1.576249
10.967473,63,1.585198
-143.185435,118,1.603118
-441.514782,156,1.625496
-99.871688,84,1.636943
-307.491347,124,1.653949
-104.890071,87,1.668588
-41.903912,86,1.681957
-226.083561,81,1.692872
-313.556793,80,1.712909
-237.990283,90,1.736037
-298.996451,81,1.757602
-431.621059,99,1.785908
-137.134991,86,1.811869
-324.669388,116,1.834793
-189.25294,118,1.85715
-159.391411,78,1.870203
-102.583283,122,1.890765
-337.188354,102,1.90832
-133.206224,75,1.922348
-225.70965,118,1.944363
-87.26572,101,1.960235
-357.632698,132,1.981134
-127.714811,64,1.9927
-293.86359,104,2.008447
-425.081601,68,2.018806
-175.547951,123,2.042672
-160.126691,112,2.073505
-446.024737,92,2.096585
-376.668913,108,2.123621
-57.552298,63,2.138475
-295.18462,119,2.164961
-107.621912,70,2.187165
-120.346105,68,2.205283
-69.97059,64,2.22246
-312.072308,124,2.248903
-171.901695,64,2.259343
-434.204935,101,2.274948
-175.374502,142,2.29802
-93.613087,68,2.31366
-88.557591,118,2.33254
-438.921935,110,2.349498
-162.561133,63,2.359484
-235.348245,109,2.377601
-77.99523,112,2.394437
-320.985395,99,2.409412
-102.67377,59,2.420984
-129.747148,71,2.433769
-95.785775,92,2.4477
-291.030965,109,2.463818
-353.587551,127,2.481987
-124.404252,64,2.501486
-69.598507,73,2.524671
-132.402003,54,2.542898
-80.681837,61,2.557136
-194.536999,94,2.574505
-287.58015,105,2.591283
-115.380473,84,2.604606
-118.810773,65,2.61554
-143.28112,69,2.628419
-428.545062,103,2.644714
-313.309351,99,2.660297
-250.162114,83,2.676389
-95.116498,60,2.6873
-221.733145,126,2.706193
-179.000353,113,2.722764
-198.972431,91,2.736149
-74.832924,116,2.75509
-393.994354,92,2.768867
-311.976732,90,2.782673
-60.027717,72,2.793802
-182.958424,71,2.809209
-219.556138,67,2.819211
-322.148375,104,2.833944
-142.486579,92,2.847108
-283.700344,97,2.86289
-73.131698,63,2.872311
-209.264189,101,2.886738
-56.942675,107,2.902948
-84.33642,66,2.9172
-174.05373,76,2.928108
-434.631198,109,2.943938
-97.665521,62,4.519142
-273.521151,98,4.662603
-243.72233,63,4.745864
-101.587906,115,4.894409
-300.472783,106,5.024628
-272.51884,115,5.166049
-119.988585,122,5.326561
-90.808255,137,5.479033
-346.646404,84,5.603918
-130.761553,79,5.711056
-68.435514,73,5.821778
-109.164895,112,5.969054
-204.15275,88,6.068513
-37.615713,74,6.168635
-306.055117,100,6.296827
-77.444276,91,6.419949
-177.603054,92,6.535706
-202.261587,127,6.713529
-183.677973,82,6.816622
-113.918219,95,6.94872
-165.134782,99,7.059771
-91.715996,104,7.192251
-180.841248,60,7.286495
-3.270471,135,7.482386
-253.474698,113,7.617774
-294.168556,113,7.791802
-94.330379,109,7.91994
-151.937702,59,7.989208
-99.026672,98,8.129542
-297.514285,107,8.250483
-402.424592,113,8.398207
-176.336253,106,8.556328
-217.956551,139,8.727995
-87.743463,77,8.840394
-109.944761,95,8.983222
-137.591395,69,9.064906
-228.784277,108,9.203828
-119.194101,87,9.32233
-123.357725,60,9.40621
-196.319519,132,9.574878
-61.382497,126,9.750924
-143.852274,116,9.926438
-82.059188,83,10.046557
-113.229551,92,10.150751
-139.164128,95,10.27982
-318.589241,79,10.395761
-121.168408,81,10.512428
-144.308204,113,10.675514
-398.882001,98,10.803817
-95.233495,159,11.030868
-93.072803,81,11.137952
-113.800651,111,11.276853
-80.387288,69,11.375035
-237.756854,126,11.557019
-74.422975,96,11.687305
-251.96695,110,11.81378
-100.133031,61,11.892565
-99.810562,63,11.982201
-105.816137,81,12.093516
-341.000719,112,12.243542
-344.835852,74,12.351704
-130.723088,120,12.510748
-8.779139,118,12.686273
-132.123529,110,12.84715
-102.111926,132,13.008427
-321.273659,117,13.158999
-79.268581,70,13.261504
-119.820931,72,13.348882
-291.341169,106,13.476891
-134.023429,98,13.607228
-55.978554,78,13.70334
-432.22862,92,13.849074
-201.572091,79,13.964084
-78.283748,104,14.117212
-371.394919,102,14.260743
-84.352892,84,14.359008
-113.899369,120,14.527402
-112.542254,78,14.646645
-267.97689,106,14.794534
-95.950083,72,14.879579
-70.976836,100,15.01847
-72.419689,68,15.118412
-198.91884,118,15.273597
-104.618763,96,15.397355
-214.812792,102,15.535923
-88.230586,145,15.747664
-341.934672,106,15.891526
-53.989338,83,16.013511
-5.067392,86,16.146655
-112.582199,64,16.229728
-197.960501,79,16.347074
-369.837026,111,16.485957
-105.500915,77,16.577311
-111.782679,123,16.745729
-87.428515,76,16.853491
-196.634802,132,17.054182
-154.622503,120,17.238549
-249.030703,93,17.350722
-108.77423,87,17.446428
-74.323472,126,17.621907
-126.281588,92,17.762959
-60.62223,71,17.866558
-246.176387,139,29.685388
-37.326706,84,29.785082
-86.581842,103,29.911477
-123.251754,100,30.05015
-44.762341,118,30.223826
-196.814976,91,30.360954
-117.48698,127,30.540298
-87.350212,61,30.629443
-126.104319,109,30.770398
-180.94477,77,30.883129
-65.248075,69,30.992262
-100.929991,82,31.111331
-132.824977,79,31.212314
-156.851538,76,31.310089
-95.118653,95,31.435862
-61.766634,101,31.560512
-103.349158,84,31.671329
-163.438655,68,31.773274
-177.348511,103,31.938469
-105.871172,100,32.053571
-206.779594,168,32.305387
-83.585832,69,32.393634
-313.16463,124,32.566151
9.564263,121,32.739861
-89.931157,136,32.917353
-221.221708,77,33.008541
-128.473345,102,33.153351
-98.862892,127,33.332853
-265.738306,101,33.456069
-152.212389,101,33.603782
-104.45778,102,33.750914
-149.476772,107,33.912447
-49.212273,71,34.016718
-414.264638,158,34.242817
-97.455087,55,34.312279
-82.480834,123,34.499306
-137.501119,86,34.625206
-276.083164,133,34.801816
-240.957943,72,34.90364
-170.730124,110,35.053846
-91.360021,104,35.194741
-51.784945,99,35.31344
-112.091727,111,35.452221
