#{"t_start": 1767403959.983697, "env_id": "LunarLander-v3"}
r,l,t
-351.208967,110,1.76488
-55.258643,70,1.889087
-47.176483,144,2.175075
-319.443114,93,2.359808
-456.371857,92,2.547415
-45.156522,107,2.763884
-164.042138,67,2.906575
-358.042648,100,3.119528
-140.986604,110,3.320435
-78.210985,70,3.467725
-86.231387,99,6.054836
-314.123259,95,6.244916
-92.244843,71,6.38715
-107.786408,118,6.638641
-185.603035,78,6.797273
57.384916,1000,11.258525
-184.985882,114,11.505093
-145.857181,112,11.753644
-44.167831,71,11.904339
-148.563535,91,12.078151
-184.563015,124,12.321699
-111.321652,71,12.468351
-100.073062,83,15.054285
-73.392318,118,15.287249
-368.723727,138,15.562846
-70.08409,103,15.755441
-67.022661,79,15.920088
-250.358739,97,16.117928
-191.413157,192,16.503635
-298.752746,135,16.78639
-301.945162,133,17.048599
-57.570661,81,19.524676
71.284751,1000,24.073142
-157.58489,107,24.329684
-221.248626,107,24.548215
-51.952463,120,24.798341
-300.277246,202,25.191905
-431.563075,198,25.601295
-270.960068,159,25.919516
-259.883857,111,28.525829
-76.854013,97,28.722907
-51.210906,123,28.972233
-229.301485,186,29.338641
-240.134806,115,29.572458
-252.96468,115,29.792124
-270.692716,130,30.042662
-62.789717,101,30.246542
-182.235195,136,32.866766
-82.351372,131,33.120842
-148.975468,99,33.323603
-357.568477,180,33.689717
-153.943154,192,34.083122
-107.418683,145,34.365499
-139.525442,148,34.682679
-83.045306,162,37.35938
-63.628358,97,37.556009
-26.598828,126,37.812579
-553.144764,190,38.192653
-205.936398,119,38.422128
-183.541334,123,38.675607
-72.081892,181,39.026295
-278.169865,181,41.728651
-52.251181,199,42.124632
-81.152469,139,42.397541
82.677718,1000,55.61758
-15.733011,107,55.834819
-194.644436,173,56.186411
-50.262341,152,56.498588
-29.662815,205,56.911515
-82.880472,109,59.494098
-21.596128,200,59.888602
-62.046086,116,60.122673
-36.597942,224,60.550353
-15.353308,273,61.072456
-16.004404,168,63.801573
-337.29417,191,64.173528
-199.841674,152,64.473615
-177.014771,163,64.800678
-172.044582,203,65.182648
-33.167982,234,65.643721
-43.903884,149,68.270794
-200.232822,213,68.688094
-76.745705,218,69.131777
15.870585,162,69.454686
-42.07925,189,69.826324
42.077676,139,70.106
-176.100721,203,72.858181
-96.246057,204,73.268606
-150.62398,274,73.809856
-71.740046,227,74.243618
-179.131611,268,77.177335
-78.18665,231,77.661811
4.57955,209,78.094691
-74.927898,211,78.53397
62.634736,1000,82.9407
-57.562574,268,85.919095
-3.406153,207,86.336725
-113.388456,300,86.951812
-92.170408,235,87.426687
-16.015769,208,87.825751
-48.145869,252,90.670911
-47.718236,264,91.182443
-34.550711,223,91.654133
-72.937112,259,92.16855
12.570807,276,95.044796
-60.563964,336,95.700669
18.688508,276,112.838196
-56.661301,311,115.905906
-51.376686,256,116.435588
65.62614,1000,120.794181
69.906438,1000,125.166938
107.353472,1000,129.552433
78.803266,1000,133.91564
69.616148,1000,138.2764
143.798904,877,142.535974
74.507553,1000,147.052946
87.040516,1000,151.396112
-29.170791,402,152.177637
153.625949,524,153.248446
110.657532,1000,174.04736
66.414478,1000,178.431479
107.24803,1000,182.737677
71.588026,1000,187.089608
112.612288,1000,191.504427
94.598637,1000,195.892899
202.100171,465,199.21671
218.486101,392,200.001477
225.0288,490,203.648984
-16.238617,298,204.219415
110.033124,1000,208.622031
140.968718,1000,213.01571
-16.601862,187,213.394294
136.549642,1000,227.588736
127.85947,1000,231.883293
107.454414,1000,236.171884
-28.212379,290,236.748361
-26.597859,229,237.192801
214.628465,321,240.185799
128.907156,1000,244.511606
-35.969507,209,244.917288
108.679434,1000,249.134773
222.386012,875,253.222658
185.254043,392,254.017328
14.759942,239,254.489934
221.795764,344,257.478541
154.409919,1000,261.816138
115.179972,1000,266.395917
212.408083,308,267.000043
142.672216,1000,282.189977
107.958782,1000,286.591091
208.871152,340,287.277669
-11.727986,225,290.094109
213.099255,297,290.684348
152.150008,391,291.477881
179.075391,440,294.789929
128.225625,1000,299.168699
-58.745122,242,299.66352
99.645103,1000,303.983044
186.920704,355,304.65369
192.962952,318,305.294114
-67.789015,305,308.287628
91.420124,1000,312.635461
-1.197817,265,313.173963
0.270714,182,313.545831
181.139016,323,314.183756
-57.102935,304,317.089041
15.038913,223,317.508152
221.024824,379,318.286563
129.082124,1000,335.813471
103.509011,1000,340.182346
-28.073096,164,340.517462
214.203232,324,343.380579
0.889723,258,343.888982
-50.731907,306,344.490141
108.818138,1000,348.764978
133.084354,1000,353.085963
195.969156,327,356.121694
203.277332,510,357.153709
211.431151,345,357.8464
219.707625,306,360.753904
-45.364972,289,361.320042
115.601334,1000,365.621469
197.602299,386,366.3879
198.610408,570,369.919836
-41.240676,230,370.379227
203.581109,360,373.420883
227.957767,382,374.208197
119.348297,1000,386.856362
224.316414,408,387.675789
-26.881807,292,390.612945
136.616892,1000,395.002357
252.378608,258,395.497616
-45.502153,283,396.064298
239.925592,255,396.581386
158.5885,1000,400.975
174.692164,1000,405.298108
134.647814,1000,409.641326
133.975172,1000,414.03107
96.935451,1000,418.458413
132.262308,1000,422.744188
145.957211,1000,427.075621
128.691221,1000,438.806627
-42.404936,291,439.358955
122.903946,1000,443.868618
127.920541,1000,448.321852
53.992832,170,450.962439
128.210265,1000,452.976405
